,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi3.30Zm1.79T00.0300_iTp0.00_ACFep00_aFem02,-0.1281233820645584,-0.08591343017437097,0.17746158296778475,-0.1758681940593414,0.2947891868926093,0.4432230054604141,0.8231783927207215,0.37188100179848244,0.5131757541070633,0.5591129304767722,0.29661464365325185,0.06729761529813412,0.14699550891225413,0.4422935667891988,0.6936210502730664
Mbi3.30Zm1.79T00.0400_iTp0.00_ACFep00_aFem02,-0.1311955134584111,-0.08895618050918108,0.13096381820318045,-0.23445850783361344,0.27162618174741293,0.3959155139940344,0.7858924573361112,0.3264681437620346,0.47337063320758616,0.5191167569711606,0.2751006954799973,0.06270695180655916,0.13771727707430192,0.3983994660204407,0.6578786733063434
Mbi3.30Zm1.79T00.0500_iTp0.00_ACFep00_aFem02,-0.13640799987479507,-0.0935732288846025,0.10179638089474921,-0.3099711112425931,0.25151663291911597,0.3730031904395501,0.7578618794833774,0.3123656365192173,0.4517780510421984,0.5018164112822816,0.2645042214233852,0.059396799412658005,0.13651627116507956,0.3814399198672102,0.655133075663622
Mbi3.30Zm1.79T00.0600_iTp0.00_ACFep00_aFem02,-0.13612633864534168,-0.09309262658028074,0.09013732878765622,-0.3175374885146896,0.24718147004110697,0.3489506503645016,0.7199754619565396,0.27190806683661456,0.4271355382440497,0.48178919425739236,0.2572887555625545,0.05399145680974393,0.13124508983303487,0.34684667227430044,0.5983071141398019
Mbi3.30Zm1.79T00.0700_iTp0.00_ACFep00_aFem02,-0.13825718561805633,-0.09482074516013386,0.07891676955272718,-0.3374171727982844,0.24162634804164074,0.3478393811482372,0.7244145339592355,0.27328250964583645,0.4203728111947278,0.4735836414376319,0.25409514151171814,0.0556747734237898,0.13105314153188757,0.3448944502515574,0.611400049389708
Mbi3.30Zm1.79T00.0800_iTp0.00_ACFep00_aFem02,-0.14048020922347912,-0.09660366215609573,0.0723436827392594,-0.35853701890785533,0.23574246031073648,0.3457545834299697,0.7217706563658146,0.2822101433503034,0.42275556831518424,0.47505108441462646,0.2588261593535199,0.060259784675068845,0.13088763015267743,0.3513377869842178,0.6286657433251005
Mbi3.30Zm1.79T00.0900_iTp0.00_ACFep00_aFem02,-0.14173664672952718,-0.09756468871329445,0.07080005025408892,-0.37905830909677507,0.22334251061092303,0.3527504612091571,0.7169109022116695,0.27150896992726786,0.4301593209833083,0.47992799413296844,0.26453358095712665,0.06446597553644563,0.13602284622102262,0.34724005194622076,0.5966657603453768
Mbi3.30Zm1.79T00.1000_iTp0.00_ACFep00_aFem02,-0.1405539367545956,-0.0968922420697698,0.06734832210311179,-0.3723445544466999,0.20672541097773478,0.36043956889065604,0.7151901618203053,0.26263614959737985,0.43130763371899933,0.4730623000926618,0.26217338568766013,0.06501084558588589,0.13162379422232115,0.3410975461023775,0.5808157475789657
Mbi3.30Zm1.79T00.1500_iTp0.00_ACFep00_aFem02,-0.14634764442030987,-0.1020563696885196,0.06954936246810874,-0.43564366167943014,0.16667814999977948,0.3858837030325052,0.6957394020359042,0.2994259896648889,0.45141184596850886,0.4913145240999326,0.27642438181565476,0.07763359635652776,0.13774120583160393,0.37216911534235864,0.6352341446503735
Mbi3.30Zm1.79T00.2000_iTp0.00_ACFep00_aFem02,-0.15190370600345796,-0.10700156791850343,0.07290491517659661,-0.5263637956817255,0.13096776911450975,0.38898036947897946,0.6643576123532386,0.32341901611878227,0.4511012772916171,0.49488345852410676,0.27571591019634994,0.08290913530664482,0.14100228179808397,0.38711694417236464,0.6837721664502284
Mbi3.30Zm1.79T00.2500_iTp0.00_ACFep00_aFem02,-0.15556586870910843,-0.11040394024457777,0.07415994163358518,-0.5575465091165894,0.1191105072735455,0.40583072123541136,0.6941476447234683,0.3537249399540688,0.46152324226019364,0.5028989036983015,0.28843078289648116,0.08942225473358728,0.1493992737750726,0.40908464905941583,0.7335479415033915
Mbi3.30Zm1.79T00.3000_iTp0.00_ACFep00_aFem02,-0.15945513147418472,-0.11340872134599791,0.07589709564821212,-0.5709260919461941,0.11051060834648185,0.42081638466752386,0.6908629078049229,0.36357885496883585,0.4680488620577845,0.512557157099541,0.29402337235089315,0.08553621623992505,0.14951270192304764,0.41797572456046655,0.7415391051367886
