,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mku1.30Zm1.79T00.0300_iTp0.00_ACFep00_aFem02,-0.07391909934978588,-0.033996310439371416,0.35325520866568194,0.5598215670428586,0.4719818234718986,0.5057516185797603,1.1361376104918328,0.44052176718248287,0.4956239787868,0.4997141418485724,0.2567568787650826,0.10124540175077061,0.17295576527197495,0.46780087284440236,0.8851700905442595
Mku1.30Zm1.79T00.0400_iTp0.00_ACFep00_aFem02,-0.0884906472900482,-0.04693477473533564,0.20952189502484658,0.287442255647833,0.397339103671333,0.33693318032512753,0.9543131607363493,0.25593733707779937,0.33269063893791767,0.35279800185646654,0.1735367591468946,0.06990364951163885,0.13890536886767105,0.29425991772304083,0.7467296227730462
Mku1.30Zm1.79T00.0500_iTp0.00_ACFep00_aFem02,-0.10083679126299419,-0.057810329810359,0.10824732959374009,0.07050785209574972,0.34539877357588367,0.21910343576859975,0.8159440070591126,0.13456349032787956,0.2168727026540274,0.2505600638415322,0.1186156021437355,0.04999834233510716,0.11556485554536541,0.174506196790652,0.5757554881602759
Mku1.30Zm1.79T00.0600_iTp0.00_ACFep00_aFem02,-0.10573555629877068,-0.06152957817764648,0.08288018981743063,0.03340203769278866,0.33254501324866403,0.20758582430261407,0.7858613968388849,0.11143116396285979,0.1986006564060693,0.2317744407088161,0.11707864371570169,0.05167113637560509,0.11310619294824396,0.15220167035394358,0.5178327682519887
Mku1.30Zm1.79T00.0700_iTp0.00_ACFep00_aFem02,-0.11204627201587156,-0.06653964969084396,0.0560756668708509,-0.01941182144532042,0.31613458802394756,0.20019836682337128,0.7652246728682012,0.09261105806782893,0.18579314747647185,0.22108976186988702,0.11777660606911933,0.055313740573000134,0.11114015749064564,0.134617160403124,0.45522215822043205
Mku1.30Zm1.79T00.0800_iTp0.00_ACFep00_aFem02,-0.11584685774142635,-0.06969138182883945,0.03858997376494213,-0.06527011499759276,0.3046480341631872,0.21002032634403361,0.7907490617141246,0.10492450152420511,0.20224560250967552,0.23696288811573263,0.13766487014615467,0.06491571447143038,0.11734155631347717,0.14913240196887848,0.4777890398921867
Mku1.30Zm1.79T00.0900_iTp0.00_ACFep00_aFem02,-0.11925916703073008,-0.07256494216672033,0.034638069198812516,-0.11319310987081957,0.2821621089181985,0.24338808309291288,0.7917974528782563,0.09340852412530705,0.2474722605016219,0.2686252125758154,0.16272604904681473,0.0828156618045009,0.12861780171587217,0.1538481755009473,0.3619801645930232
Mku1.30Zm1.79T00.1000_iTp0.00_ACFep00_aFem02,-0.12296819341632016,-0.07643357389007316,0.029594943697115742,-0.17524310362460147,0.23378404450492918,0.26529313548655703,0.7667910343122741,0.07526110357601094,0.2631629143245312,0.26989646078899554,0.16566805843204246,0.07834204712632473,0.12059384939996579,0.1412367803051114,0.28237418602752246
Mku1.30Zm1.79T00.1500_iTp0.00_ACFep00_aFem02,-0.13535590397973032,-0.0876155728371411,0.032572395026424616,-0.34901718227473655,0.1711157649708426,0.31095480248703233,0.7538731055176126,0.14334943656189647,0.3119752140534962,0.3156266790110525,0.1994086246888741,0.103632695930435,0.1358206805850213,0.21182075696269068,0.45681645688456524
Mku1.30Zm1.79T00.2000_iTp0.00_ACFep00_aFem02,-0.14525665567967339,-0.09653385708409395,0.040031469681402754,-0.5124268322942243,0.1152230961562315,0.3069559355077968,0.6913630228193066,0.2050542047386013,0.30137049725749215,0.31872547383184113,0.1938703140752759,0.10982339418356171,0.13996887708718417,0.25058676482274705,0.6613628028525297
Mku1.30Zm1.79T00.2500_iTp0.00_ACFep00_aFem02,-0.15395944200963718,-0.10448834045979488,0.04242348004922239,-0.6159666876334143,0.09206931302915386,0.3313262171267835,0.7330205607241237,0.2479725236628066,0.3177169968959865,0.33601029103236235,0.2198042339945805,0.11678683872422005,0.15793117409243987,0.282940331410237,0.7586421073185654
Mku1.30Zm1.79T00.3000_iTp0.00_ACFep00_aFem02,-0.1623412009184797,-0.11115391377777943,0.04832048106027983,-0.6743005801891957,0.07989862199964315,0.35219750396669613,0.7268237838081897,0.277438869131383,0.3253288830444152,0.34891537047184995,0.22601576980388344,0.10910687370477491,0.15556346782022792,0.3034652266063449,0.8229625026376
Mku1.30Zm1.79T00.3500_iTp0.00_ACFep00_aFem02,-0.16909236017004764,-0.11791375374159943,0.04679000512871611,-0.7735180968693645,0.07646099586601172,0.3816521366174134,0.7343768650391588,0.29729112123881346,0.3373651734131624,0.35889178979711284,0.2368836417874536,0.10914082827457788,0.16000529365348212,0.31951146897862565,0.8539695455771811
